コメダ珈琲店,,,,12/28(水),,12/29(木),,12/30(金),,12/31(土),,1/1(日),,1/2(月),,1/3(火),,1/4(水),,
都道府県,店舗名,市,TEL,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,開店時間,閉店時間,備考
,ひたち野うしく店,牛久市,029-871-7272,7:00,22:30,7:00,22:30,7:00,22:30,7:00,20:00,7:00,20:00,7:00,22:30,7:00,22:30,7:00,22:30,
,古河三杉町店,古河市,0280-31-1133,7:00,21:00,7:00,21:00,7:00,21:00,7:00,20:00,7:00,20:00,7:00,21:00,7:00,21:00,7:00,21:00,
,鹿島神宮南店,鹿嶋市,0299-77-9244,7:00,21:00,7:00,21:00,7:00,19:00,7:00,18:00,7:00,19:00,7:00,19:00,7:00,19:00,7:00,19:00,
,守谷高野店,守谷市,0297-44-6234,7:00,21:30,7:00,21:30,7:00,21:30,7:00,17:00,9:00,17:00,9:00,17:00,7:00,21:30,7:00,21:30,
,神栖店,神栖市,0299-77-8812,7:00,21:00,7:00,21:00,7:00,21:00,7:00,18:00,休,休,9:00,18:00,7:00,18:00,7:00,21:00,
,水戸石川店,水戸市,029-291-6100,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,17:00,9:00,17:00,7:00,22:00,7:00,22:00,
,水戸元吉田町店,水戸市,029-350-6080,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,17:00,9:00,17:00,7:00,22:00,7:00,22:00,
,石岡旭台店,石岡市,029-956-7510,8:00,21:30,8:00,21:30,8:00,21:30,7:00,17:00,9:00,17:00,9:00,17:00,7:00,21:30,7:00,21:30,
,土浦真鍋店,土浦市,029-897-3133,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,17:00,9:00,17:00,7:00,22:00,7:00,22:00,
,龍ケ崎店,龍ケ崎市,0297-66-2212,7:00,21:30,7:00,21:30,7:00,21:30,7:00,17:00,9:00,17:00,9:00,17:00,7:00,21:30,7:00,21:30,
栃木県,宇都宮下戸祭店,宇都宮市,028-680-7905,7:00,17:00,7:00,17:00,7:00,17:00,7:00,17:00,7:00,17:00,7:00,17:00,7:00,17:00,7:00,17:00,
,宇都宮平松本町店,宇都宮市,028-688-7043,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,
,宇都宮みどり野店,宇都宮市,050-3372-0713,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,9:00,18:00,7:00,18:00,7:00,18:00,7:00,22:00,
,ウツノミヤテラス店,宇都宮市,028-612-8205,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,
,自治医大店,下野市,0285-40-5003,7:00,22:00,7:00,22:00,7:00,22:00,7:00,20:00,7:00,20:00,7:00,22:00,7:00,22:00,7:00,22:00,
,佐野店,佐野市,0283-85-8455,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,18:00,9:00,20:00,9:00,20:00,7:00,22:00,
,鹿沼店,鹿沼市,0289-74-5716,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,
,小山店,小山市,0285-28-4151,7:00,22:00,7:00,22:00,7:00,21:00,7:00,21:00,7:00,21:00,7:00,21:00,7:00,21:00,7:00,21:00,1月5日  開店時間7:00 閉店時間21:00
,真岡店,真岡市,0285-81-3111,7:00,20:00,7:00,20:00,7:00,20:00,7:00,20:00,9:00,21:00,9:00,21:00,9:00,21:00,7:00,22:00,
,足利朝倉店,足利市,0284-22-7630,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,7:00,18:00,7:00,19:00,7:00,19:00,7:00,22:00,
,栃木箱森店,栃木市,050-3608-3142,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,9:00,18:00,7:00,18:00,7:00,18:00,7:00,22:00,
,西那須野店,那須塩原市,0287-46-5586,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,
群馬県,笠懸阿左美店,みどり市,0277-32-4778,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,22:00,
,カインズ伊勢崎店,伊勢崎市,0270-75-2700,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,9:00,18:00,9:00,20:00,7:00,20:00,7:00,23:00,
,館林店,館林市,0276-56-9863,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,9:00,18:00,9:00,20:00,7:00,20:00,7:00,23:00,
,イオンモール高崎店,高崎市,027-373-0817,9:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00,10:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00,
,高崎飯塚店,高崎市,027-388-9280,7:00,23:00,7:00,23:00,7:00,23:00,7:00,20:00,7:00,20:00,7:00,23:00,7:00,23:00,7:00,23:00,
,前橋住吉店,前橋市,027-212-4150,7:00,22:00,7:00,22:00,7:00,21:00,7:00,21:00,7:00,21:00,7:00,21:00,7:00,21:00,7:00,21:00,1月5日 開店時間7:00 閉店時間21:00
,カインズ前橋川曲店,前橋市,027-252-1220,7:00,22:00,7:00,22:00,7:00,22:00,7:00,20:00,7:00,22:00,7:00,22:00,7:00,22:00,7:00,22:00,
,イオンモール太田店,太田市,0276-45-3156,10:00,21:00,10:00,21:00,10:00,21:00,10:00,20:00,9:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,
,太田藤阿久店,太田市,0276-56-4300,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,7:00,18:00,7:00,19:00,7:00,19:00,7:00,23:00,
埼玉県,北浦和駅前店,さいたま市,048-762-7113,7:00,23:00,7:00,23:00,7:00,23:00,7:00,21:00,7:00,21:00,7:00,23:00,7:00,23:00,7:00,23:00,
,丸井大宮店,さいたま市,048-657-8448,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,
,大宮南中野店,さいたま市見沼区,048-878-9031,8:00,21:00,8:00,21:00,8:00,21:00,8:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,8:00,21:00,
埼玉県,大宮上小町店,さいたま市大宮区,048-788-3272,7:00,22:00,7:00,22:00,7:00,22:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,22:00,
,南与野店,さいたま市中央区,048-851-5133,7:00,23:00,7:00,23:00,7:00,23:00,7:00,22:00,7:00,22:00,7:00,23:00,7:00,23:00,7:00,23:00,
,大宮土呂店,さいたま市北区,048-788-2166,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,22:00,
,浦和松木店,さいたま市緑区,048-711-1114,7:00,23:00,7:00,23:00,7:00,23:00,7:00,18:00,9:00,18:00,7:00,18:00,7:00,18:00,7:00,20:00,
,イオンモール浦和美園店,さいたま市緑区美園,048-762-9256,10:00,22:00,10:00,22:00,10:00,22:00,10:00,20:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,
,ふじみ野店,ふじみ野市,049-267-1695,7:00,22:00,7:00,22:00,7:00,22:00,7:00,21:00,休,休,7:00,22:00,7:00,22:00,7:00,22:00,
,イオンモール羽生店,羽生市,048-560-0175,10:00,22:00,10:00,22:00,10:00,22:00,10:00,20:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,
,新越谷店,越谷市,048-964-3335,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,休,休,9:00,17:00,9:00,17:00,7:00,22:00,
,加須愛宕店,加須市,0480-62-8989,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,8:00,18:00,8:00,18:00,8:00,18:00,7:00,22:00,
,イオンタウン吉川美南店,吉川市,048-984-5111,7:00,21:00,7:00,21:00,7:00,21:00,7:00,17:00,9:00,20:00,9:00,20:00,9:00,20:00,7:00,21:00,
,久喜店,久喜市,0480-29-2378,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,22:00,
,深谷店,熊谷市,048-577-5400,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,22:00,
,熊谷店,熊谷市,048-501-6540,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,22:00,
,戸田公園店,戸田市,048-299-4961,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,22:00,
,ららぽーと新三郷店,三郷市,048-934-5154,9:00,22:00,9:00,22:00,9:00,22:00,9:00,19:00,9:00,20:00,9:00,22:00,9:00,22:00,9:00,22:00,
,春日部店,春日部市,048-812-4151,7:00,19:00,7:00,19:00,7:00,19:00,7:00,17:00,休,休,9:00,17:00,9:00,17:00,7:00,22:00,
,新所沢店,所沢市,04-2936-6665,7:00,21:00,7:00,21:00,7:00,21:00,7:00,18:00,9:00,20:00,9:00,20:00,7:00,21:00,7:00,21:00,
,所沢牛沼店,所沢市,04-2941-6550,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,22:00,
,グランエミオ所沢店,所沢市,04-2937-5280,6:30,22:00,6:30,22:00,6:30,22:00,10:00,19:00,10:00,20:00,6:30,22:00,6:30,22:00,6:30,22:00,
,上尾上店,上尾市,048-771-2233,6:30,22:30,6:30,22:30,6:30,22:30,6:30,21:00,6:30,21:00,6:30,22:30,6:30,22:30,6:30,22:30,
,鶴ヶ島店,川越市,049-277-5308,7:00,23:00,7:00,23:00,7:00,23:00,7:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,7:00,23:00,
,川越仲町店,川越市,049-236-3373,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,7:00,22:00,
,東川口店,川口市,048-291-0220,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,休,休,9:00,17:00,9:00,17:00,7:00,22:00,
,川口芝店,川口市,048-423-0740,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,18:00,9:00,18:00,9:00,18:00,7:00,22:00,
,イオンモール川口店,川口市,048-446-7925,8:00,22:00,8:00,22:00,8:00,22:00,8:00,20:00,9:00,22:00,8:00,22:00,8:00,22:00,8:00,22:00,
,草加店,草加市,048-933-2345,7:00,22:00,7:00,22:00,7:00,22:00,7:00,17:00,9:00,20:00,9:00,20:00,9:00,20:00,7:00,22:00,
